City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Max Temperature
punta arenas,,45,40,24.16,-53.16,-70.91,48.2
bluff,,87,0,7.52,-23.58,149.07,58.96
lebork,,87,20,10.29,54.54,17.75,42.8
yellowknife,,53,90,6.93,62.45,-114.38,24.8
flin flon,,40,75,13.87,54.77,-101.88,33.8
barrow,,26,0,13.78,-38.31,-60.23,60.85
belokurikha,,78,0,3.27,52.0,84.99,30.79
mar del plata,,45,92,12.66,-46.43,-67.52,56.53
isiro,,94,8,2.37,2.77,27.62,68.23
kavaratti,,100,48,10.54,10.57,72.64,83.71
iwanai,,94,0,13.11,42.97,140.51,60.04
butaritari,,100,8,6.96,3.07,172.79,84.88
geraldton,,100,90,3.36,49.72,-86.95,50.0
luderitz,,55,0,11.54,-26.65,15.16,68.41
irbit,,74,68,5.39,57.67,63.06,43.57
vaini,,96,48,3.71,15.34,74.49,69.31
gamboula,,83,64,5.39,4.12,15.14,73.54
sao filipe,,90,0,13.67,14.9,-24.5,80.56
rio gallegos,,57,40,25.28,-51.62,-69.22,50.0
santa isabel do rio negro,,64,44,3.94,-0.41,-65.02,88.48
amos,,71,75,19.46,48.57,-78.12,55.4
tiksi,,100,56,2.93,71.64,128.87,17.02
ponta do sol,,40,24,4.61,-20.63,-46.0,83.62
hermanus,,80,0,6.85,-34.42,19.24,49.78
tasiilaq,,54,8,2.24,65.61,-37.64,30.2
pevek,,100,36,3.27,69.7,170.27,39.7
mitsamiouli,,83,20,2.24,-11.38,43.28,73.4
hithadhoo,,100,88,22.28,-0.6,73.08,82.81
biak,,95,92,4.94,-0.91,122.88,76.6
saint george,,93,20,4.7,39.45,22.34,62.6
atuona,,100,0,13,-9.8,-139.03,79.39
juegang,,100,0,12.77,32.31,121.18,65.89
hasaki,,93,75,8.05,35.73,140.83,64.4
high level,,50,75,2.24,58.52,-117.13,30.2
qaanaaq,,100,0,14.12,77.48,-69.36,16.84
baykit,,83,0,4.38,61.68,96.39,23.68
teknaf,,100,76,2.15,20.86,92.31,76.24
kahului,,60,20,16.11,20.89,-156.47,87.08
hobart,,80,20,10.29,-42.88,147.33,41.0
mount gambier,,76,92,6.29,-37.83,140.78,49.51
